,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,week,date
20210406,0.7,0.55,-0.11,-0.19,-0.03,0.64,0.18,-0.52,0.41,-0.15,119,5/4/2021
20210407,-0.33,-2.28,-0.76,0.46,0.43,-0.52,0.39,-0.62,0.03,-0.09,119,5/4/2021
20210408,0.24,1.16,0.14,-1.4,1.41,-0.54,0.37,0.37,-0.27,0.32,119,5/4/2021
20210409,0.08,-0.38,0.42,-0.51,0.81,-0.26,1.3,0.51,-0.15,0.93,119,5/4/2021
20210412,0.68,2.22,0.19,-1.06,-0.39,-0.23,0.27,-0.36,0.08,0.22,120,12/4/2021
20210413,-0.39,5.05,-0.71,0.15,1.09,-0.04,0.01,0.68,1.06,-0.61,120,12/4/2021
20210414,-0.04,-2.6,0.28,3.17,-1.23,-0.06,-0.63,0.33,0.48,0.49,120,12/4/2021
20210415,0.71,0.84,0.57,-0.94,1.8,0.46,0.93,1.29,1.08,0.59,120,12/4/2021
20210416,0.79,0.11,0.61,-0.89,-0.19,0.98,0.75,0.76,0.57,0.48,120,12/4/2021
20210419,-0.65,-2.51,-0.63,-0.13,-0.86,-0.46,-0.62,-0.49,-0.39,-0.45,121,19/4/2021
20210420,-0.02,-0.52,-1.25,-2.79,-0.87,-0.68,-0.76,0.14,1.02,-1.53,121,19/4/2021
20210421,1.05,3.05,1.66,1.44,0.72,0.81,0.76,1.79,-0.63,1.19,121,19/4/2021
20210422,-0.46,-2.36,-0.98,-1.29,-0.88,0.25,-0.9,-0.54,-0.74,-0.74,121,19/4/2021
20210423,0.38,1.58,1.14,1.01,1.61,0.28,0.82,0.53,0.03,1.6,121,19/4/2021
20210426,-0.83,1.05,0.21,0.69,0.71,-0.25,0.16,0.37,-0.46,0.21,122,26/4/2021
20210427,0.11,-2.69,0.11,1.37,-0.37,-0.18,0.39,-0.43,-0.69,0.65,122,26/4/2021
20210428,0,-1.1,-0.15,3.33,-0.41,-0.41,0.2,-0.25,0.13,0.22,122,26/4/2021
20210429,0.94,-2.27,0.57,1.11,0.22,1.86,0.89,-0.83,0.87,1,122,26/4/2021
20210430,-0.45,2.54,-0.78,-2.78,-1.35,-0.06,-0.34,-0.34,0.56,-0.96,122,26/4/2021
20210503,1.15,-1.91,0.67,2.98,-0.43,0.02,0.13,0.84,0.2,0.76,123,3/5/2021
20210504,-0.8,-1.63,0.42,0.14,-2,-0.02,-1.05,-1.09,-0.32,0.36,123,3/5/2021
20210505,-0.11,0.2,0.27,3.23,-0.22,0.01,-0.53,-0.12,-1.31,0.3,123,3/5/2021
20210506,1.08,-0.38,0.81,0.29,0.55,1,0.93,-0.28,0.8,0.78,123,3/5/2021
20210507,0.28,1.51,1.09,2.02,0.92,0.86,0.36,0.68,0.42,0.83,123,3/5/2021
20210510,0.13,-4.55,-0.64,-0.33,-2.52,-0.09,-1.03,-0.93,0.96,-0.48,124,10/5/2021
20210511,-0.82,-1.53,-0.65,-2.45,-0.14,-0.76,-0.75,-0.44,-1.08,-1.24,124,10/5/2021
20210512,-1.61,-3.86,-2.84,0.33,-2.81,-1.27,-2.86,-0.98,-2.16,-2.05,124,10/5/2021
20210513,1.48,-0.98,1.92,-1.44,0.94,0.75,1.23,0.64,1.78,1.78,124,10/5/2021
20210514,0.64,2.58,1.37,3.4,2.31,0.57,1.46,0.98,0.65,1.55,124,10/5/2021
20210517,-0.11,-1.15,0.04,2.28,-0.59,-2.43,0.33,-0.11,-0.56,-0.05,125,17/5/2021
20210518,-0.49,-0.28,-1.31,-2.38,-0.64,-1.64,-0.6,0.08,-0.08,-1,125,17/5/2021
20210519,-0.72,-1.76,-0.68,-2.43,0.37,-0.82,-0.5,-0.38,-0.27,-0.59,125,17/5/2021
20210520,1.02,2.68,0.5,-0.16,1.96,1.33,0.46,1.49,0.8,0.3,125,17/5/2021
20210521,-0.09,0.04,0.3,0.28,-0.49,0.3,-0.48,-0.27,0.49,0.55,125,17/5/2021
20210524,0.53,2.59,0.77,1.12,1.8,0.65,0.49,0.12,-0.08,0.54,126,24/5/2021
20210525,-0.18,-0.45,-0.2,-2.1,0.07,-0.39,0.21,-0.38,-1.3,-0.81,126,24/5/2021
20210526,0.48,2.36,0.28,1.2,0.32,0.72,0.4,-0.13,0.08,0.49,126,24/5/2021
20210527,-0.03,2.13,0.78,0.23,-0.28,0.87,-0.21,-0.18,-0.51,0.92,126,24/5/2021
20210528,0.17,-0.8,-0.05,0.11,0.18,-0.17,-0.19,0.4,0.42,-0.02,126,24/5/2021
20210601,0.04,0.31,0.58,4.12,-0.33,-0.18,-0.13,-1.32,-0.17,0.43,127,31/5/2021
20210602,0.41,-1.9,-0.36,1.58,0.27,-0.19,0.15,-0.19,0.57,-0.13,127,31/5/2021
20210603,-0.04,-2.18,0,0.16,-0.99,-0.38,-0.78,0.43,0.59,-0.22,127,31/5/2021
20210604,0.36,2.72,0.54,0.59,1.83,0.73,0.31,0.64,0.02,0.2,127,31/5/2021
20210607,0.2,0.51,-0.45,-0.37,0.31,-0.18,-0.16,1.5,0.34,-0.42,128,7/6/2021
20210608,-0.62,-0.04,-0.02,0.98,0.14,-0.02,1.1,-0.33,-0.59,0.14,128,7/6/2021
20210609,-0.76,-0.95,-0.89,-0.58,0.02,-0.02,-0.39,1.29,0.7,-0.97,128,7/6/2021
20210610,0.15,0.48,-0.36,-0.02,0.94,0.23,0.79,1.79,0.64,-0.77,128,7/6/2021
20210611,0.66,0.34,0.19,-0.24,0.53,0.31,0.48,-0.66,0.37,0.54,128,7/6/2021
20210614,-0.31,0.28,-0.56,-0.36,1.03,0.07,0.08,0.13,-0.06,-0.75,129,14/6/2021
20210615,-0.41,-1.84,0.13,2.25,-0.71,-0.28,-0.26,-0.56,0.37,0.23,129,14/6/2021
20210616,-1.02,0.26,-1.07,-0.44,-0.45,-0.63,-0.21,-0.33,-1.3,-0.33,129,14/6/2021
20210617,-0.13,0.32,-1.31,-3.61,1.32,-0.02,0.57,0.69,-0.08,-1.84,129,14/6/2021
20210618,-1.67,0.08,-1.52,-2.71,-0.84,-1.04,-0.86,-1.03,-2.75,-1.89,129,14/6/2021
20210621,1.15,0.62,1.93,4.36,0.93,1.01,0.73,1.21,1.67,2.14,130,21/6/2021
20210622,0.37,0.58,0.28,0.82,0.98,0.23,1.15,0.07,-0.68,0.24,130,21/6/2021
20210623,-0.54,3.66,-0.15,0.49,0.02,-0.72,-0.07,-0.48,-0.95,0.01,130,21/6/2021
20210624,0.58,2.25,0.8,0.91,0.62,1.06,-0.22,0.92,0.1,0.94,130,21/6/2021
20210625,0.66,-0.48,0.99,0.54,-0.12,0.53,-0.13,0.43,1.07,0.87,130,21/6/2021
20210628,-0.13,1.14,-0.19,-3.51,1.28,-0.45,0.29,0.1,0.22,-0.95,131,28/6/2021
20210629,-0.34,-0.6,-0.12,-0.47,0.37,-0.56,0.13,0.07,-1.51,-0.16,131,28/6/2021
20210630,0.62,0.18,0.6,1.31,-0.36,0.56,0.25,0,0.08,0.27,131,28/6/2021
20210701,-0.06,-0.31,0.28,1.77,0.14,0.72,0.07,1.03,1.13,0.78,131,28/6/2021
20210702,0.03,-0.12,0.06,-0.45,1.15,0.49,1.02,0.41,0.14,0.02,131,28/6/2021
20210706,-0.77,-2.43,-1.01,-3.27,0.49,-0.8,1.25,-0.45,0.12,-1.17,132,5/7/2021
20210707,0.26,-1.75,0.52,-1.68,0.2,0.2,0.44,-0.01,0.45,0,132,5/7/2021
20210708,-0.51,0.31,-0.87,-0.31,-0.97,-0.45,-0.2,-0.14,-0.31,-1.72,132,5/7/2021
20210709,0.76,1.55,1.47,1.98,1.01,0.8,0.85,0.43,0.59,2.28,132,5/7/2021
20210712,-0.16,2.81,0.35,-0.11,0,0.81,0.08,-0.09,0.11,0.51,133,12/7/2021
20210713,-0.27,-2.04,-0.99,-0.72,0,-0.62,-0.83,-0.67,-0.81,-0.87,133,12/7/2021
20210714,0.46,-1.75,-0.31,-3.09,0,-0.11,0.07,-0.65,0.41,-0.35,133,12/7/2021
20210715,0.14,-0.63,-0.11,-1.47,-0.88,0.14,-0.67,-0.47,0.98,0.32,133,12/7/2021
20210716,-0.5,-1.37,-1.07,-2.91,-0.6,-0.71,-1.01,0.5,0.61,-1.26,133,12/7/2021
20210719,-0.6,-0.34,-1.62,-3.67,-1.08,-1.94,-0.86,-0.36,-1.91,-2.52,134,19/7/2021
20210720,0.76,2.64,2.03,1.43,1.63,0.96,1.42,1.5,0.76,2.23,134,19/7/2021
20210721,0.3,-0.06,1.08,3.74,0.93,0.53,0.66,0.63,-0.72,1.43,134,19/7/2021
20210722,-0.4,-1.21,-0.4,-1.16,0.79,-0.22,0.65,0.15,0,-0.71,134,19/7/2021
20210723,1.02,0.27,0.78,-0.47,1.51,0.41,1.03,1.02,1.11,0.48,134,19/7/2021
20210726,0.34,1.6,0.36,2.53,-0.01,0.65,0.37,-0.97,0.18,0.36,135,26/7/2021
20210727,-0.07,-1.86,-0.31,-1.25,-1.21,0.08,-0.96,0.15,1.33,-0.32,135,26/7/2021
20210728,-0.64,0.49,0.22,1.18,0.6,-0.48,-0.27,1.3,-0.43,-0.15,135,26/7/2021
20210729,0.48,3.45,0.87,0.9,0.1,-0.06,0.1,-0.17,0.17,0.9,135,26/7/2021
20210730,-0.32,0.3,0.06,-1.55,-0.4,0,-2.85,-0.16,-0.95,-0.56,135,26/7/2021
20210802,-0.05,1.76,-0.51,-0.81,-0.1,0.01,-0.19,0.15,0.58,-0.4,136,2/8/2021
20210803,0.29,0.25,1.17,1.96,0.54,-0.27,1.02,1.34,0.69,0.6,136,2/8/2021
20210804,-1.47,-1.15,-1.23,-3.16,0.3,-0.64,-0.76,-0.19,-0.3,-0.69,136,2/8/2021
20210805,0.38,0.64,0.46,1.54,0.69,0.99,0.79,0.66,0.89,0.97,136,2/8/2021
20210806,0.33,-1.35,0.48,0.91,-0.34,0.09,-0.41,-0.59,0.05,1.23,136,2/8/2021
20210809,0.3,1.09,-0.08,-1.54,-0.01,-0.39,-0.11,0.62,-0.1,-0.16,137,9/8/2021
20210810,0.43,-0.25,0.87,2.01,-0.56,0.39,0.51,-0.82,0.29,0.65,137,9/8/2021
20210811,0.27,0.12,0.76,0.71,-0.03,0.73,0.31,-1.33,0.8,0.79,137,9/8/2021
20210812,-0.15,1.23,-0.49,-0.04,0.71,-0.07,-0.21,0.91,0.08,-0.19,137,9/8/2021
20210813,0.81,-0.92,-0.19,-1.52,0.33,0.29,-0.25,0.26,0.45,-0.37,137,9/8/2021
20210816,0.23,-2.9,0.03,-1.94,0.08,-0.44,0.34,0.42,0.38,-0.1,138,16/8/2021
20210817,-0.57,-2.77,-1.28,-0.71,-0.94,-0.2,-1.58,1.23,-0.02,-0.88,138,16/8/2021
20210818,-1.35,1.87,-1.04,-2.19,-1.09,-0.75,-0.57,-1.33,-0.66,-0.99,138,16/8/2021
20210819,0.26,-2.12,-0.78,-2.76,0.57,-0.43,-0.06,-0.17,0.06,-0.57,138,16/8/2021
20210820,0.02,0.86,0.43,0.3,1.3,0.84,0.92,0.9,1.19,0.69,138,16/8/2021
20210823,0.03,2.55,1.05,3.94,1.33,0.58,0.67,1,-0.94,0.89,139,23/8/2021
20210824,-0.18,0.84,0.54,1.7,0.36,-0.12,0.46,-0.34,-0.38,0.76,139,23/8/2021
20210825,0.13,0.37,0.39,0.88,0.17,-0.16,0.11,-0.14,0.26,0.67,139,23/8/2021
20210826,-0.8,-1.41,-0.57,-1.43,-0.55,-1,-0.58,-0.44,-0.48,-0.75,139,23/8/2021
20210827,0.6,1.7,1.16,2.96,1.21,1.04,0.52,0.18,0.36,1.41,139,23/8/2021
20210830,0.21,1.46,-0.08,-1.09,1.08,0.27,0.93,0.51,0.06,-0.88,140,30/8/2021
20210831,0.01,0.24,-0.49,-0.52,-0.46,0.65,0.57,0.08,-0.05,-0.07,140,30/8/2021
20210901,0.61,0.07,-0.09,-1.31,0.21,0.36,0.05,0.15,1.13,-0.1,140,30/8/2021
20210902,0.16,-0.3,0.63,2.67,0.03,0.35,0.06,1.01,0.96,0.41,140,30/8/2021
20210903,-0.24,-0.14,-0.45,-0.39,0.47,-0.34,0.08,-0.08,-0.77,-0.48,140,30/8/2021
20210907,-1.34,1.45,-1.29,-0.41,-0.04,-0.66,-0.19,-0.57,-1.28,-0.39,141,6/9/2021
20210908,0.51,-0.17,-0.31,-1.13,-0.69,0.05,0.33,-0.28,1.59,-0.43,141,6/9/2021
20210909,-0.14,0.07,0.03,0.27,-0.31,-0.76,-0.46,-1.06,-0.61,0.01,141,6/9/2021
20210910,-0.01,-1.71,-0.28,-0.08,-0.95,-0.66,-0.49,-0.73,-1.34,-0.78,141,6/9/2021
20210913,0.2,1.03,0.2,3.04,-0.14,0.75,-0.06,-0.99,0.08,0.8,142,13/9/2021
20210914,-0.64,-0.23,-0.95,-1.7,-0.12,-2.55,-0.51,-0.34,-0.47,-1.34,142,13/9/2021
20210915,0.67,1.47,0.81,3.95,0.85,0.92,0.6,0.63,0.3,0.92,142,13/9/2021
20210916,-0.16,-0.05,-0.66,-1.02,0.04,0.11,0.62,-0.05,-0.96,-0.11,142,13/9/2021
20210917,-0.73,0.19,-1.04,-0.87,-1.18,-0.21,-0.51,-0.04,-1.42,-0.4,142,13/9/2021
20210920,-1.11,-3.46,-1.62,-2.98,-1.97,-1.46,-2.01,-1.33,-0.46,-1.95,143,20/9/2021
20210921,-0.29,0.8,-0.49,0.47,0.21,-1.39,-0.04,0.48,-0.2,-0.08,143,20/9/2021
20210922,0.42,1.8,1.34,3.24,1.05,0.76,0.84,0.12,0.23,1.17,143,20/9/2021
20210923,0.55,0.84,1.53,3.43,1.1,0.74,0.8,1.04,-0.03,2.05,143,20/9/2021
20210924,-0.24,1.71,-0.52,0.79,0.14,-0.22,0.31,-0.91,-0.11,0.45,143,20/9/2021
20210927,-0.02,1.9,0.48,3.81,-1.07,0.37,0.01,-1.1,-0.56,0.95,144,27/9/2021
20210928,-1.4,-1.52,-1.48,0.21,-3.21,-1.41,-2.11,-1.87,-1.15,-1.59,144,27/9/2021
20210929,0.72,0.18,0.02,0.06,-0.32,0.52,0.24,0.42,1.16,0.07,144,27/9/2021
20210930,-2.12,-0.96,-1.71,-1.17,-0.42,-0.94,-1.76,-0.61,-0.93,-1.42,144,27/9/2021
20211001,0.71,0.28,1.25,3.29,1.31,1.63,0.15,-0.05,0.24,1.75,144,27/9/2021
20211004,-0.26,0.5,-0.66,1.89,-2.48,-0.46,-1.57,-1.73,1.48,-1.04,145,4/10/2021
20211005,0.45,0.2,0.93,0.65,1.5,0.44,0.62,0.45,-0.1,1.35,145,4/10/2021
20211006,0.71,0.12,-0.04,-1.36,0.72,-0.12,0.46,-0.52,1.19,0.34,145,4/10/2021
20211007,0.51,1.88,1.12,0.83,1.05,0.61,1.33,1.08,-0.22,0.94,145,4/10/2021
20211008,-0.36,-0.38,-0.48,2.98,-0.37,-2.17,-0.37,-0.93,-0.38,0.28,145,4/10/2021
20211011,-0.27,0.37,-0.34,-0.49,-0.59,-2.46,-0.74,-0.66,-1.09,-0.98,146,11/10/2021
20211012,0.39,1.5,0.04,-0.15,-0.31,-0.71,0.08,-0.1,0.71,-0.07,146,11/10/2021
20211013,0.54,0.3,0.27,-0.07,0.9,0.17,0.46,0.28,1.1,-0.23,146,11/10/2021
20211014,1.11,0.93,1.56,1.11,2.05,1.37,1.26,1.16,1.31,1.79,146,11/10/2021
20211015,-0.45,2.05,0.52,0.4,0.42,0.04,1.36,-0.1,-0.15,1.19,146,11/10/2021
20211018,-0.37,2.11,-0.05,0.28,0.99,-1.11,1.06,-0.83,-0.87,0.12,147,18/10/2021
20211019,0.16,-0.47,0.18,0.92,0.89,1.02,0.22,1.54,1.03,0.62,147,18/10/2021
20211020,0.68,0.49,0.46,0.79,-0.15,1.33,-0.07,0.77,1.42,0.72,147,18/10/2021
20211021,-0.18,2.42,0.11,-1.62,0.56,-0.82,1,0.43,-0.4,0.11,147,18/10/2021
20211022,0.22,0.77,0.21,1.11,-1.15,-0.53,-0.86,-0.01,0.54,0.83,147,18/10/2021
20211025,-0.1,8.61,0.36,1.67,0.34,0.13,0.34,0.26,-0.17,0.32,148,25/10/2021
20211026,0.28,-0.71,-0.72,0.67,0.09,-0.18,0.12,0.37,0.3,0.07,148,25/10/2021
20211027,-0.73,0.71,-1.12,-3.05,0.22,-1.5,-0.29,-1.04,-0.79,-2.01,148,25/10/2021
20211028,0.8,3.51,1.42,0.62,0.99,0.15,0.96,1.36,0.66,1.09,148,25/10/2021
20211029,-0.14,2.45,-0.09,-0.45,0.66,-1.04,-0.59,0.56,-0.71,-0.07,148,25/10/2021
20211101,0.46,6.94,0.77,1.68,-0.16,0.86,-0.03,0.6,0.58,0.48,149,1/11/2021
20211102,0.12,-2.21,0.57,-1.01,0.61,0.08,0.18,0.8,-0.08,0.01,149,1/11/2021
20211103,1.24,2.94,0.65,-0.87,0.5,1.14,1.64,0.86,-0.24,0.7,149,1/11/2021
20211104,-0.13,1.22,0.5,-0.01,1.23,-0.69,1.33,-0.65,-0.56,-0.77,149,1/11/2021
20211105,0.35,-0.54,1.38,1.65,0.04,1.61,0.45,-0.85,1.02,0.8,149,1/11/2021
20211108,-0.98,-3.23,0.27,0.96,0.65,-0.19,-0.68,0.18,-1.2,0.52,150,8/11/2021
20211109,0.39,-8.68,0.19,0.41,-0.11,-0.31,0.99,-0.7,0.42,-0.44,150,8/11/2021
20211110,0.09,2.77,-0.84,-2.85,-2.01,0.25,-1.19,-0.19,0.54,-0.58,150,8/11/2021
20211111,-0.13,0.1,0.25,0.33,0.49,-1.74,0.06,-0.28,-0.32,0.21,150,8/11/2021
20211112,0.02,-1.67,0.85,-0.25,1.37,-0.49,0.96,0.38,-0.14,0.57,150,8/11/2021
20211115,0.51,-1.28,0.11,0.82,-0.1,-0.16,0.3,-0.52,1.23,-0.19,151,15/11/2021
20211116,-0.19,2.81,0.12,0.19,0.76,-0.34,0.58,0.26,-0.59,0.06,151,15/11/2021
20211117,-0.45,2.1,-0.49,-1.73,-0.33,-0.18,-0.39,0.01,0.11,-0.99,151,15/11/2021
20211118,-0.6,-0.06,-0.23,-0.48,0.64,-1.28,1.9,-0.45,-0.59,-0.59,151,15/11/2021
20211119,-0.75,2.38,-0.53,-4.01,0.51,-1.16,-0.65,-0.36,0.33,-0.96,151,15/11/2021
20211122,0.36,1.89,0.2,1.76,-1.56,-0.04,-0.8,-0.8,0.58,0.21,152,22/11/2021
20211123,0.25,-3.21,0.12,3.24,-0.59,0.12,0.14,-0.23,0.39,1.05,152,22/11/2021
20211124,-0.41,0.34,-0.15,1.01,0.7,-0.35,0.06,0.09,0.16,0.1,152,22/11/2021
20211126,-1.75,-2.9,-2.49,-4.38,-2.14,-1.14,-1.93,-0.62,-1.72,-3.1,152,22/11/2021
20211129,0.33,3.46,0.63,0.83,2.14,-0.24,0.62,-0.33,1.19,0.36,153,29/11/2021
20211130,-2.58,-0.17,-2.47,-2.45,-1.52,-3.1,-1.96,-1.43,-3.07,-2.47,153,29/11/2021
20211201,-0.64,-3.33,-0.89,-1.41,-1.9,-1.99,-1.62,-0.72,-0.02,-1.52,153,29/11/2021
20211202,1.6,0.08,1.87,2.87,0.98,3.69,1.05,0.62,1.44,2.82,153,29/11/2021
20211203,0.76,-5.03,0.02,-0.85,-1.76,0.84,-0.53,-0.6,0.76,-1.32,153,29/11/2021
20211206,1.5,-0.03,1.44,1.76,0.85,0.88,1.4,0.34,1.63,1.96,154,6/12/2021
20211207,0.63,3.55,1.39,2.43,3.34,-1.26,1.84,1.91,0.8,1.61,154,6/12/2021
20211208,-0.12,1.45,0.47,0.08,0.88,-0.31,-0.3,0.76,0.04,0.08,154,6/12/2021
20211209,-0.55,-4.84,-0.68,-0.93,-1.29,-1.43,-0.5,-0.84,-0.45,-0.47,154,6/12/2021
20211210,0.97,1.76,0.38,0.78,1.33,0.25,0.4,-0.2,0.5,0.31,154,6/12/2021
20211213,0.7,-4.38,-0.96,-2.86,-1.28,-0.95,-1.27,1.21,0.75,-1.29,155,13/12/2021
20211214,-0.17,-0.84,-0.49,-0.48,-1.61,0.56,-0.36,-0.44,-0.62,0.03,155,13/12/2021
20211215,0.9,1.32,0.77,-0.29,2.53,-0.05,1.52,2.57,1.52,0.7,155,13/12/2021
20211216,0.63,-3.55,-0.21,0.58,-2.81,1.94,-1.87,0.23,0.37,0.33,155,13/12/2021
20211217,-0.88,-0.18,-1.31,-2.07,-0.31,0.46,-0.58,0.27,-1.38,-1.37,155,13/12/2021
20211220,-0.89,-3.15,-1.64,-1.16,-1.13,-0.58,-1.09,-0.65,-0.13,-1.66,156,20/12/2021
20211221,0.45,3.49,2.2,3.28,2.5,1.3,1.49,0.6,0.15,2.42,156,20/12/2021
20211222,0.51,5.61,0.63,0.6,1.05,0.22,0.48,0.96,0.45,0.9,156,20/12/2021
20211223,0.28,4.47,0.88,0.01,0.59,0.88,0.36,0.49,0,0.77,156,20/12/2021
20211227,0.84,2.16,1.38,2.51,1.84,-0.08,0.6,0.3,0.62,0.86,157,27/12/2021
20211228,0.5,-0.32,0.22,-0.26,-0.77,0.39,0.43,-0.57,0.8,0.01,157,27/12/2021
20211229,0.33,-0.19,0.43,-0.56,-0.01,-0.36,0.18,0.44,0.43,-0.01,157,27/12/2021
20211230,0,-0.94,-0.5,-0.92,-0.28,0.26,-0.09,0.32,0.28,-0.16,157,27/12/2021
20211231,0.5,-0.77,0.36,0.21,-0.67,-0.72,-0.08,-0.51,0.34,-0.12,157,27/12/2021
